S/N,Country,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
1,Algeria,18.09,16.5,15.22802676,14,12.5,11.23,10.18,9.451190626,7.375984956,5.843942092
2,Angola,21.26,19.1,16.93721011,14.776,10,6,4.6,3.2,1.907647507,1.143366827
3,Benin,5.3,4.9,4.5,4.148323066,3.13,2.24,1.85,1.79,1.537854346,1.271031439
4,Botswana,18.5,15,11.5,8,6,6.15,6.25,5.28,4.289932975,3.262554036
5,Burkina Faso,9.4,9.1,3.725034916,3,2.4,1.13,0.92,0.75,0.632707564,0.469914489
6,Burundi,1.38,1.3,1.219999945,1.11,1,0.9,0.81,0.7,0.65759259,0.542142866
7,Cameroon,11,6.4,5.69898724,5,4.3,3.84,3.4,2.93,2.028744791,1.402654226
8,Cape Verde,40.26,37.5,34.74,32,30,21,14,8.28321982,6.808911008,6.074087107
9,Central African Republic,4.03,3.5,3,2.2,2,1.8,1,0.375815961,0.311159173,0.268195609
10,Chad,2.5,2.3,2.1,1.9,1.7,1.5,1.19,0.847224521,0.581045764,0.3992577
11,Comoros,6.98,6.5,5.975296308,5.5,5.1,3.5,3,2.5,2.2,2
12,Congo,7.11,6.6,6.106695024,5.6,5,4.5,4.287509903,2.759704374,2.007990079,1.46342006
13,Democratic Republic of Congo,3,2.2,1.679961015,1.2,0.72,0.56,0.44,0.37,0.29605361,0.238037799
14,Djibouti,10.71,9.5,8.267232892,7,6.5,4,2.26,1.62,1.270041159,0.953611449
15,Egypt,31.7,29.4,26.4,25.6,21.6,20,18.01,16.03,13.66,12.75
16,Equitorial Guinea,18.86,16.4,13.94318219,11.5,6,2.13,1.82,1.557123059,1.279193596,1.149789671
17,Eritrea,0.99,0.9,0.8,0.7,0.61,0.54,0.47,0.41,0.39,0.358
18,Ethiopia,2.9,1.9,1.482810139,1.1,0.75,0.54,0.45,0.37,0.310592657,0.219659819
19,Gabon,9.81,9.2,8.616714489,8,7.23,6.7,6.21,5.767004576,5.489200803,4.89326475
20,Ghana,18.9,12.3,10.6,9,7.8,5.44,4.27,3.85,2.723175973,1.831197461
21,Guinea-Bissau,3.32,3.1,2.893990621,2.672,2.45,2.303280592,2.354888711,2.206302237,2.057196705,1.901365316
22,Ivory Coast,9.67,9.16,8.72,8.35,8.11,7.96,7.56,7.37,7.22,7.01
23,Kenya,43.4,39,32.1,28,14,10.04,8.67,7.95,7.53378972,3.101897702
24,Lesotho,11,5,4.58961763,4.2248,3.86,3.72,3.58,3.44543126,2.979708187,2.580245484
25,Liberia,5.41,3.2,2.6,2.5,2.3,2,0.53,0.551376581,0.53,0.49
26,Libya,17.76,16.5,14,14,10.8,9,4.721999379,4.301051789,3.917787977,3.72
27,Madagascar,3.7,3,2.3,1.9,1.7,1.63,1.65,0.65,0.607552239,0.567721802
28,Malawi,5.83,5.05,4.3506,3.33,2.26,1.07,0.7,0.965864737,0.42513749,0.384489334
29,Mali,7,3.5,2.8,2.2,2,1.8,1.57,0.81,0.729627281,0.507063136
30,Mauritania,10.7,6.2,5,4.5,4,2.28,1.87,1.433613196,0.979661253,0.669966475
31,Mauritius,41.44,39,35.42,34.95,28.33,22.51,21.81,20.22,16.7,15.17222875
32,Morocco,56.8,56,55.41605319,46.1074826,52,41.3,33.1,21.5,19.77119157,15.08444452
33,Mozambique,5.94,5.4,4.8491,4.3,4.17,2.68,1.56,0.91,0.842954488,0.854357118
34,Namibia,14.84,13.9,12.9414,12,11.6,6.5,5.329003772,4.835610778,4.398870647,4.010046644
35,Niger,1.95,1.7,1.4077,1.3,0.83,0.76,0.7,0.39039062,0.294033977,0.221341351
36,Nigeria,42.68,38,32.8,28.43,24,20,15.86,6.77,5.545036083,3.549155718
37,Rwanda,10.6,9,8.023854277,7,8,7.7,4.5,2.115387178,0.556041165,0
38,Sao Tome and Principe,24.41,23,21.5724,20.1612,18.75,16.41,15.48,14.5904832,14.18201978,0.489
39,Senegal,17.7,13.1,10.8,9.8,8,7.5,7.12,6.89,5.611738652,4.786684083
40,Seychelles,54.26,50.4,47.076,43.16400446,41,40.44,38.38,34.95197117,25.41326815,23.78
41,Sierra Leone,2.1,1.7,1.3,0.9,0.58,0.26,0.25,0.239834699,0.227669467,0.21539161
42,Somalia,1.63,1.5,1.3767,1.25,1.160610542,1.142687372,1.122235622,1.100216368,1.077327839,1.03006
43,South Africa,49,46.5,41,33.97,24,10,8.43,8.065375174,7.607139675,7.48854253
44,South Sudan,15.9,14.1,7,6.21,6.002,5.879,5.621,5.58,5.36,4.98
45,Sudan,24.64,22.7,21,17.46,16.7,8.66,1.292040678,1.15,1.02,0.978
46,Swaziland,27.1,24.7,20.78178258,18.13,11.04,8.94,6.85,4.1,3.696538789,3.696961073
47,Tanzania,4.86,4.4,3.95,3.2,2.9,2.4,1.9,1.6,1.3,1.1
48,Togo,5.7,4.5,4,3.5,3,2.6,2.4,2.2,2,1.8
49,Tunisia,46.16,43.8,41.4416,39.1,36.8,34.07,27.53,17.1,12.98640865,9.655086542
50,Uganda,17.71,16.2,14.6896,13.01354333,12.5,9.78,7.9,3.671965351,2.529363038,1.742205503
51,Zambia,17.34,15.4,13.4682,11.5,10,6.31,5.55,4.87,4.159913394,2.851752261
52,Zimbabwe,19.89,18.5,17.09,15.7,11.5,11.36,11.4,10.85,9.791841502,8.015978089
